HashType=DIVISION | Dataset=data/keys/unicos_pequena.csv | Size=3000 | Collisions=454| Variance=0,16
HashType=DIVISION | Dataset=data/keys/sequenciais_pequena.csv | Size=3000 | Collisions=0| Variance=0,00
HashType=DIVISION | Dataset=data/keys/primos_pequena.csv | Size=3000 | Collisions=131| Variance=0,04
HashType=DIVISION | Dataset=data/keys/unicos_media.csv | Size=5000 | Collisions=1235| Variance=0,26
HashType=DIVISION | Dataset=data/keys/sequenciais_media.csv | Size=5000 | Collisions=0| Variance=0,00
HashType=DIVISION | Dataset=data/keys/primos_media.csv | Size=5000 | Collisions=617| Variance=0,11
HashType=DIVISION | Dataset=data/keys/unicos_grande.csv | Size=8000 | Collisions=3224| Variance=0,45
HashType=DIVISION | Dataset=data/keys/sequenciais_grande.csv | Size=8000 | Collisions=0| Variance=0,00
HashType=DIVISION | Dataset=data/keys/primos_grande.csv | Size=8000 | Collisions=2339| Variance=0,25
HashType=MULTIPLICATION | Dataset=data/keys/unicos_pequena.csv | Size=3000 | Collisions=454| Variance=0,15
HashType=MULTIPLICATION | Dataset=data/keys/sequenciais_pequena.csv | Size=3000 | Collisions=0| Variance=0,00
HashType=MULTIPLICATION | Dataset=data/keys/primos_pequena.csv | Size=3000 | Collisions=196| Variance=0,06
HashType=MULTIPLICATION | Dataset=data/keys/unicos_media.csv | Size=5000 | Collisions=1257| Variance=0,27
HashType=MULTIPLICATION | Dataset=data/keys/sequenciais_media.csv | Size=5000 | Collisions=0| Variance=0,00
HashType=MULTIPLICATION | Dataset=data/keys/primos_media.csv | Size=5000 | Collisions=687| Variance=0,12
HashType=MULTIPLICATION | Dataset=data/keys/unicos_grande.csv | Size=8000 | Collisions=3202| Variance=0,45
HashType=MULTIPLICATION | Dataset=data/keys/sequenciais_grande.csv | Size=8000 | Collisions=415| Variance=0,05
HashType=MULTIPLICATION | Dataset=data/keys/primos_grande.csv | Size=8000 | Collisions=2514| Variance=0,29
HashType=TCR | Dataset=data/keys/unicos_pequena.csv | Size=3000 | Collisions=455| Variance=0,17
HashType=TCR | Dataset=data/keys/sequenciais_pequena.csv | Size=3000 | Collisions=0| Variance=0,00
HashType=TCR | Dataset=data/keys/primos_pequena.csv | Size=3000 | Collisions=131| Variance=0,04
HashType=TCR | Dataset=data/keys/unicos_media.csv | Size=5000 | Collisions=1254| Variance=0,27
HashType=TCR | Dataset=data/keys/sequenciais_media.csv | Size=5000 | Collisions=0| Variance=0,00
HashType=TCR | Dataset=data/keys/primos_media.csv | Size=5000 | Collisions=1324| Variance=0,23
HashType=TCR | Dataset=data/keys/unicos_grande.csv | Size=8000 | Collisions=3151| Variance=0,44
HashType=TCR | Dataset=data/keys/sequenciais_grande.csv | Size=8000 | Collisions=0| Variance=0,00
HashType=TCR | Dataset=data/keys/primos_grande.csv | Size=8000 | Collisions=3843| Variance=0,52
HashType=FOLDING | Dataset=data/keys/unicos_pequena.csv | Size=3000 | Collisions=2190| Variance=1,43
HashType=FOLDING | Dataset=data/keys/sequenciais_pequena.csv | Size=3000 | Collisions=2001| Variance=0,89
HashType=FOLDING | Dataset=data/keys/primos_pequena.csv | Size=3000 | Collisions=2497| Variance=2,84
HashType=FOLDING | Dataset=data/keys/unicos_media.csv | Size=5000 | Collisions=4138| Variance=2,68
HashType=FOLDING | Dataset=data/keys/sequenciais_media.csv | Size=5000 | Collisions=4001| Variance=2,56
HashType=FOLDING | Dataset=data/keys/primos_media.csv | Size=5000 | Collisions=4497| Variance=5,69
HashType=FOLDING | Dataset=data/keys/unicos_grande.csv | Size=8000 | Collisions=7155| Variance=4,58
HashType=FOLDING | Dataset=data/keys/sequenciais_grande.csv | Size=8000 | Collisions=7001| Variance=5,35
HashType=FOLDING | Dataset=data/keys/primos_grande.csv | Size=8000 | Collisions=7497| Variance=10,02
HashType=SHIFT_XOR | Dataset=data/keys/unicos_pequena.csv | Size=3000 | Collisions=2990| Variance=186,71
HashType=SHIFT_XOR | Dataset=data/keys/sequenciais_pequena.csv | Size=3000 | Collisions=2990| Variance=193,87
HashType=SHIFT_XOR | Dataset=data/keys/primos_pequena.csv | Size=3000 | Collisions=2988| Variance=190,15
HashType=SHIFT_XOR | Dataset=data/keys/unicos_media.csv | Size=5000 | Collisions=4986| Variance=310,39
HashType=SHIFT_XOR | Dataset=data/keys/sequenciais_media.csv | Size=5000 | Collisions=4990| Variance=324,69
HashType=SHIFT_XOR | Dataset=data/keys/primos_media.csv | Size=5000 | Collisions=4988| Variance=316,39
HashType=SHIFT_XOR | Dataset=data/keys/unicos_grande.csv | Size=8000 | Collisions=7984| Variance=499,90
HashType=SHIFT_XOR | Dataset=data/keys/sequenciais_grande.csv | Size=8000 | Collisions=7990| Variance=520,87
HashType=SHIFT_XOR | Dataset=data/keys/primos_grande.csv | Size=8000 | Collisions=7988| Variance=505,93
